latitude,longitude,datetime,Wildfire,pr,rmax,rmin,sph,srad,tmmn,tmmx,vs,bi,fm100,fm1000,erc,etr,pet,vpd
48.1284309990626,-97.276685,2018-08-15,No,0.0,78.6,14.9,0.00582,272.6,282.0,301.6,3.0,40.0,10.2,12.2,54.0,7.5,5.5,1.59
48.1284309990626,-97.276685,2018-08-16,No,0.0,80.4,13.9,0.00676,264.0,283.9,304.9,3.0,40.0,9.7,12.0,56.0,8.2,5.9,1.93
48.1284309990626,-97.276685,2018-08-17,No,0.0,70.9,20.4,0.00672,265.6,285.8,300.7,3.1,40.0,9.2,11.9,56.0,7.2,5.3,1.51
48.1284309990626,-97.276685,2018-08-18,No,5.0,65.2,19.4,0.00756,261.4,289.0,303.3,5.1,0.0,9.9,12.0,40.0,10.0,6.9,1.85
48.1284309990626,-97.276685,2018-08-19,No,0.0,100.0,42.2,0.00895,166.8,283.8,296.5,4.7,41.0,11.8,12.1,47.0,4.6,3.4,0.66
48.1284309990626,-97.276685,2018-08-20,No,0.0,72.1,22.2,0.00588,264.8,283.5,297.5,4.0,44.0,10.7,12.0,53.0,7.2,5.2,1.22
48.1284309990626,-97.276685,2018-08-21,No,0.0,70.3,17.4,0.00539,259.8,282.6,298.7,2.4,37.0,9.8,11.8,56.0,6.2,4.6,1.38
48.1284309990626,-97.276685,2018-08-22,No,0.0,56.2,11.9,0.00526,261.1,285.8,302.1,4.6,51.0,8.7,11.6,59.0,9.9,6.7,1.9
48.1284309990626,-97.276685,2018-08-23,No,0.0,89.3,34.8,0.00959,249.5,287.6,300.2,4.5,46.0,9.6,11.6,54.0,6.8,5.0,1.09
48.1284309990626,-97.276685,2018-08-24,No,0.0,100.0,47.4,0.01186,197.7,286.7,299.6,3.3,36.0,11.7,11.8,48.0,4.3,3.4,0.62
48.1284309990626,-97.276685,2018-08-25,No,1.1,100.0,39.4,0.01064,195.4,285.6,300.3,3.5,0.0,13.2,12.0,35.0,5.0,3.8,0.84
48.1284309990626,-97.276685,2018-08-26,No,10.0,100.0,50.2,0.0109,244.1,283.3,297.4,4.1,0.0,16.3,12.9,29.0,4.0,3.3,0.41
48.1284309990626,-97.276685,2018-08-27,No,4.3,100.0,74.9,0.01039,208.4,283.4,291.1,5.0,0.0,18.1,13.5,24.0,1.8,1.8,0.0
48.1284309990626,-97.276685,2018-08-28,No,0.0,100.0,62.1,0.00808,127.0,281.3,289.7,2.6,25.0,18.1,13.8,33.0,2.0,1.7,0.2
48.1284309990626,-97.276685,2018-08-29,No,0.0,87.9,30.6,0.00727,244.3,283.6,297.2,4.2,37.0,16.0,13.9,40.0,6.2,4.5,0.98
48.1284309990626,-97.276685,2018-08-30,No,0.0,92.9,37.5,0.00999,237.3,287.6,299.9,7.4,50.0,15.1,14.0,40.0,7.5,5.3,1.0
48.1284309990626,-97.276685,2018-08-31,No,0.9,100.0,38.9,0.01042,203.3,283.2,300.1,2.8,0.0,15.6,14.2,27.0,4.4,3.5,0.74
48.1284309990626,-97.276685,2018-09-01,No,2.6,79.1,24.7,0.00675,234.4,284.2,299.4,3.9,0.0,14.5,14.2,29.0,7.0,4.9,1.3
48.1284309990626,-97.276685,2018-09-02,No,0.0,94.0,24.6,0.00597,234.1,279.7,297.4,3.7,37.0,13.7,13.9,43.0,6.1,4.4,1.06
48.1284309990626,-97.276685,2018-09-03,No,0.0,100.0,25.5,0.00751,226.2,281.8,300.8,5.8,46.0,14.1,13.8,43.0,8.0,5.4,1.23
48.1284309990626,-97.276685,2018-09-04,No,0.0,100.0,37.0,0.00868,216.3,279.9,298.3,5.1,41.0,14.8,14.0,40.0,5.3,3.8,0.72
48.1284309990626,-97.276685,2018-09-05,No,0.0,85.2,19.4,0.00435,228.2,276.6,295.0,2.6,32.0,13.5,14.0,44.0,5.1,3.7,1.01
48.1284309990626,-97.276685,2018-09-06,No,25.3,79.5,23.0,0.00519,134.1,280.2,295.9,4.0,0.0,16.0,15.2,26.0,5.8,3.9,1.07
48.1284309990626,-97.276685,2018-09-07,No,1.3,88.3,49.8,0.00808,156.8,285.2,293.1,4.6,0.0,15.6,15.3,24.0,4.1,3.0,0.59
48.1284309990626,-97.276685,2018-09-08,No,0.0,77.2,33.8,0.00755,164.9,286.3,297.2,6.2,44.0,13.9,15.1,38.0,6.9,4.6,1.06
48.1284309990626,-97.276685,2018-09-09,No,0.0,94.5,33.5,0.00845,204.1,284.8,299.2,6.4,45.0,14.0,14.9,39.0,7.1,4.8,1.03
48.1284309990626,-97.276685,2018-09-10,No,0.0,96.6,29.0,0.00814,205.4,283.9,300.5,2.5,30.0,13.8,14.8,40.0,5.1,3.8,1.18
48.1284309990626,-97.276685,2018-09-11,No,0.0,100.0,30.7,0.01027,203.4,280.8,303.7,5.2,41.0,14.4,14.9,39.0,6.8,4.7,1.09
48.1284309990626,-97.276685,2018-09-12,No,0.0,100.0,50.9,0.00904,182.9,281.0,294.6,4.1,32.0,15.5,15.2,34.0,3.2,2.5,0.37
48.1284309990626,-97.276685,2018-09-13,No,1.8,100.0,69.6,0.01217,121.9,281.5,295.0,3.9,0.0,17.1,15.3,22.0,1.2,1.2,0.0
48.1284309990626,-97.276685,2018-09-14,No,1.1,100.0,48.2,0.00831,167.7,283.1,294.0,3.3,0.0,17.4,15.5,22.0,3.4,2.6,0.53
48.1284309990626,-97.276685,2018-09-15,No,0.0,87.3,38.2,0.00858,199.0,286.3,297.7,4.3,34.0,16.2,15.5,35.0,5.5,3.9,0.94
48.1284309990626,-97.276685,2018-09-16,No,0.0,100.0,28.5,0.01098,193.9,279.3,305.9,6.4,44.0,16.1,15.5,36.0,8.0,5.3,1.22
48.1284309990626,-97.276685,2018-09-17,No,0.6,100.0,65.1,0.00695,185.5,276.5,287.1,3.3,0.0,17.2,15.8,21.0,1.6,1.5,0.08
48.1284309990626,-97.276685,2018-09-18,No,0.0,100.0,37.4,0.00632,196.7,277.4,293.0,2.5,26.0,17.2,15.9,33.0,3.3,2.6,0.57
48.1284309990626,-97.276685,2018-09-19,No,0.0,100.0,40.8,0.0061,193.2,278.0,291.3,3.9,31.0,17.2,16.1,32.0,3.6,2.6,0.51
48.1284309990626,-97.276685,2018-09-20,No,24.5,100.0,63.7,0.0066,65.6,278.7,286.6,5.5,0.0,20.6,17.2,16.0,1.7,1.2,0.18
48.1284309990626,-97.276685,2018-09-21,No,0.0,93.6,43.6,0.00529,170.7,278.0,288.2,4.7,31.0,19.1,17.1,27.0,3.4,2.4,0.45
48.1284309990626,-97.276685,2018-09-22,No,0.0,96.3,49.7,0.00564,151.8,278.5,287.5,5.1,31.0,18.7,17.3,26.0,3.0,2.2,0.37
48.1284309990626,-97.276685,2018-09-23,No,0.0,97.9,68.2,0.00606,130.3,279.3,284.4,5.0,28.0,19.0,17.5,23.0,1.8,1.4,0.18
48.1284309990626,-97.276685,2018-09-24,No,0.0,100.0,83.5,0.00712,121.6,277.7,284.1,3.0,19.0,20.0,17.7,19.0,0.8,0.9,0.0
48.1284309990626,-97.276685,2018-09-25,No,0.0,100.0,52.2,0.00533,120.8,274.7,286.0,3.2,23.0,19.6,17.9,24.0,1.9,1.4,0.24
48.1284309990626,-97.276685,2018-09-26,No,1.4,100.0,43.0,0.00499,147.5,275.6,287.5,4.1,0.0,19.3,18.1,17.0,2.9,2.0,0.39
48.1284309990626,-97.276685,2018-09-27,No,0.7,100.0,59.9,0.00472,99.7,274.9,282.4,5.3,0.0,19.5,17.8,16.0,1.7,1.3,0.18
48.1284309990626,-97.276685,2018-09-28,No,0.0,100.0,51.5,0.00335,110.9,269.2,279.3,4.7,28.0,19.4,17.9,24.0,1.6,1.2,0.17
48.1284309990626,-97.276685,2018-09-29,No,0.0,92.8,41.8,0.00345,66.4,272.1,282.3,2.7,23.0,18.0,17.9,26.0,1.9,1.3,0.32
48.1284309990626,-97.276685,2018-09-30,No,0.0,74.5,42.0,0.00315,124.9,274.0,280.9,3.2,26.0,16.2,17.7,28.0,2.4,1.6,0.35
48.1284309990626,-97.276685,2018-10-01,No,0.0,73.5,34.5,0.00356,64.7,275.9,285.5,4.5,32.0,14.7,17.4,31.0,3.5,2.2,0.53
48.1284309990626,-97.276685,2018-10-02,No,2.4,89.5,53.3,0.00592,138.6,280.3,287.6,4.1,0.0,15.9,17.6,20.0,2.7,1.9,0.39
48.1284309990626,-97.276685,2018-10-03,No,9.5,100.0,81.8,0.00599,45.5,270.9,282.0,5.7,0.0,19.5,18.6,13.0,0.3,0.3,0.0
48.1284309990626,-97.276685,2018-10-04,No,6.3,88.4,42.6,0.00299,141.4,270.8,280.3,3.0,0.0,19.5,18.6,16.0,2.0,1.4,0.29
48.1284309990626,-97.276685,2018-10-05,No,4.8,100.0,92.7,0.00439,50.8,273.2,275.9,2.1,0.0,21.8,19.2,9.0,0.4,0.4,0.0
48.1284309990626,-97.276685,2018-10-06,No,0.0,100.0,91.9,0.00445,111.2,274.1,276.2,1.7,12.0,22.4,19.6,13.0,0.6,0.6,0.0
48.1284309990626,-97.276685,2018-10-07,No,4.8,94.2,72.8,0.00435,80.2,275.1,278.9,1.9,0.0,22.3,20.1,9.0,1.0,0.8,0.12
48.1284309990626,-97.276685,2018-10-08,No,5.0,100.0,93.9,0.00557,40.8,276.9,279.1,3.2,0.0,23.8,20.8,5.0,0.3,0.3,0.0
